Character-ID,Gender,Hair,Hat,TShirt,Pants,Shoes,Beard,Accessory,Fat,Muscles,Slimness,Thin,BreastSize,Neck_Width,Ear_Size,Ear_Angle,Jaw_Width,Jaw_Shift,Jaw_Offset,Cheek_Size,Chin_Offset,Eye_Width,Eye_Form,Eye_InnerCorner,Eye_Corner,Eye_Rotation,Eye_Offset,Eye_ScaleX,Eye_ScaleY,Eye_Size,Eye_Close,Eye_Height,Brow_Height,Brow_Shape,Brow_Thickness,Brow_Length,Nose_Length,Nose_Size,Nose_Angle,Nose_Offset,Nose_Bridge,Nose_Hump,Mouth_Offset,Mouth_Width,Mouth_Size,Mouth_Open,Mouth_Bulging,LipsCorners_Offset,Face_Form,Chin_Width,Chin_Form,Head_Offset,Height,Smile,Sadness,Surprise,Thoughtful,Angry,HeadSize,SkinColor.r,SkinColor.g,SkinColor.b,SkinColor.a,EyeColor.r,EyeColor.g,EyeColor.b,EyeColor.a,HairColor.r,HairColor.g,HairColor.b,HairColor.a,UnderpantsColor.r,UnderpantsColor.g,UnderpantsColor.b,UnderpantsColor.a,Answer.q1_Description,Answer.q2_Description,Answer.q3_Description,AnswerCombined
4834580449135-235,0,8,0,8,7,3,-1,0,100,0,33.33333206,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,-0.02,0,0,0,0,0,-0.083333336,0.88671875,0.53515625,0.41015625,1,0.7421875,0.7421875,0.7421875,1,0.99609375,0.5,0.0234375,1,0.273584902,0.273584902,0.273584902,1,"This is a woman that is overweight, and carries most of her weight on her top half. She has light skin. She has a thin, angular face.",This woman is wearing a green tank top and blue track shorts. She has a black bucket hat on. She is wearing pink sunglasses.,"This woman is a vagrant. She has been on the run for awhile, which you can see in her very skinny legs and arms. She is sick and has cancer, but cannot get treatment.","This is a woman that is overweight, and carries most of her weight on her top half. She has light skin. She has a thin, angular face. This woman is wearing a green tank top and blue track shorts. She has a black bucket hat on. She is wearing pink sunglasses. This woman is a vagrant. She has been on the run for awhile, which you can see in her very skinny legs and arms. She is sick and has cancer, but cannot get treatment."
4839743030219-236,0,8,2,4,2,10,-1,-1,66.66666412,0,33.33333206,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.059999999,0,0,0,0,0,0.083333336,0.83984375,0.60546875,0.4765625,1,0.62890625,0.33203125,0,1,0.99609375,0.9375,0,1,0.273584902,0.273584902,0.273584902,1,This is an average build woman. She has a light skin tone. Her eyes are gold.,She is wearing black shoes and pink sweat pants. Her black shirt shoes off her midriff. She is wearing a black hat.,This woman looks like she owns a lot of cats. She works at a book store. Every meal she eats she takes a photo of and shares on instagram.,This is an average build woman. She has a light skin tone. Her eyes are gold. She is wearing black shoes and pink sweat pants. Her black shirt shoes off her midriff. She is wearing a black hat. This woman looks like she owns a lot of cats. She works at a book store. Every meal she eats she takes a photo of and shares on instagram.
4844935574494-237,0,8,2,8,2,1,-1,-1,66.66666412,0,33.33333206,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.02,0,0,0,0,0,0.25,0.7578125,0.38671875,0.2578125,1,0.99609375,0,0,1,0,0.76953125,0,1,0.273584902,0.273584902,0.273584902,1,"The person is shorter than average and their hips are kind of wide. They appear to be just a bit overweight. They have thin arms and a smooth, stern face.","The individual is wearing light colored pastel-hued pants, no socks and black shoes with low heels. They also have on a light green sleeveless top with a wide-open neck. Their head covering seems to be a knit gray cap, possibly woolen.","The person seems to be a middle-aged, possibly lower middle-class female. They exude a sense of entitlement and give the impression of being difficult personality-wise. They also seem to have a judgmental, suspicious air.","The person is shorter than average and their hips are kind of wide. They appear to be just a bit overweight. They have thin arms and a smooth, stern face. The individual is wearing light colored pastel-hued pants, no socks and black shoes with low heels. They also have on a light green sleeveless top with a wide-open neck. Their head covering seems to be a knit gray cap, possibly woolen. The person seems to be a middle-aged, possibly lower middle-class female. They exude a sense of entitlement and give the impression of being difficult personality-wise. They also seem to have a judgmental, suspicious air."
4849357294930-238,0,8,1,3,4,2,-1,-1,33.33333206,0,33.33333206,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-0.02,0,0,0,0,0,0.25,0.41015625,0.1796875,0.09765625,1,0.99609375,0,0,1,0.7421875,0.7421875,0.7421875,1,0.273584902,0.273584902,0.273584902,1,This woman is sweat but has long arms and legs. It's dark brown skin and gray eyebrows. She has bright red the glaring eyes.,She's wearing a black beanie and a maroon colored coat that ties at the waist. She has black shorts on with a white trim. She has white boots.,This woman appears to be a bit older but still quite fit. She seems pretty fashionable as well. Her red eyes make her look pretty evil and she might be a villain.,This woman is sweat but has long arms and legs. It's dark brown skin and gray eyebrows. She has bright red the glaring eyes. She's wearing a black beanie and a maroon colored coat that ties at the waist. She has black shorts on with a white trim. She has white boots. This woman appears to be a bit older but still quite fit. She seems pretty fashionable as well. Her red eyes make her look pretty evil and she might be a villain.
4850039512624-239,0,8,-1,2,3,-1,-1,-1,33.33333206,0,33.33333206,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.02,0,0,0,0,0,0.25,0.7578125,0.38671875,0.2578125,1,0.37890625,0.15625,0,1,0.125,0.59375,0.99609375,1,0.273584902,0.273584902,0.273584902,1,This person has an overall artistic vibe. The hair is bright blue and about shoulder length. They are fairly tall and thin with a busty chest.,"The clothes are decidedly feminine, at least in their colors. The long sleeved shirt is light pink while the cropped pants are mauve. The person is barefoot.","The person looks like they just got out of bed. Or perhaps they are having a movie night at home. Given the lack of footwear, I doubt they are leaving their house.","This person has an overall artistic vibe. The hair is bright blue and about shoulder length. They are fairly tall and thin with a busty chest. The clothes are decidedly feminine, at least in their colors. The long sleeved shirt is light pink while the cropped pants are mauve. The person is barefoot. The person looks like they just got out of bed. Or perhaps they are having a movie night at home. Given the lack of footwear, I doubt they are leaving their house."
4854696444893-240,0,8,-1,10,9,12,-1,0,66.66666412,0,66.66666412,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,-0.02,0,0,0,0,0,-0.083333336,0.4921875,0.24609375,0.15625,1,0,0.4921875,0,1,0.37890625,0.15625,0,1,0.273584902,0.273584902,0.273584902,1,"This woman is quite tall. She has brown hair that is slicked back on her tiny head. She has neutral skin, not too dark or light.",This person is wearing bright purple glasses. She has on a blue collared top with matching blue pants. Blue sneakers round out the outfit.,This person looks to be wearing a uniform. It seems like the uniform of a police officer or something else official. There seems to be a badge on the shirt.,"This woman is quite tall. She has brown hair that is slicked back on her tiny head. She has neutral skin, not too dark or light. This person is wearing bright purple glasses. She has on a blue collared top with matching blue pants. Blue sneakers round out the outfit. This person looks to be wearing a uniform. It seems like the uniform of a police officer or something else official. There seems to be a badge on the shirt."
11314921076-1,0,-1,-1,10,9,10,-1,-1,33.33333206,0,100,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,-0.02,0,0,0,0,0,0.25,0.41015625,0.1796875,0.09765625,1,0.37890625,0.15625,0,1,0.37890625,0.15625,0,1,0.273584902,0.273584902,0.273584902,1,This person has an average height and a skinny build. He is bald with light brown eyes. He has a darker complexion and skinny chin.,The clothing looks like a uniform. There's a blue top with a badge. It matches the blue pants and gray shoes.,This person looks like a police officer or something like that. He certainly has a uniform to indicate he's coming from or going to work. He looks very professional and neat.,This person has an average height and a skinny build. He is bald with light brown eyes. He has a darker complexion and skinny chin. The clothing looks like a uniform. There's a blue top with a badge. It matches the blue pants and gray shoes. This person looks like a police officer or something like that. He certainly has a uniform to indicate he's coming from or going to work. He looks very professional and neat.
5053799463951-241,0,8,-1,6,9,0,-1,12,33.33333206,0,33.33333206,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.059999999,0,0,0,0,0,-0.083333336,0.59765625,0.27734375,0.15625,1,0,0.4921875,0,1,0,0,0,1,0.273584902,0.273584902,0.273584902,1,"This is a woman with tanned skin. She has black hair. She has green eyes, and needs glasses.",This woman is wearing a zip up jacket. She is wearing grey pants. She is in sneakers.,"This is a very severe woman. She is not nice or friendly and people do not like her. She doesn't care, as long as she has power and fear, she is happy.","This is a woman with tanned skin. She has black hair. She has green eyes, and needs glasses. This woman is wearing a zip up jacket. She is wearing grey pants. She is in sneakers. This is a very severe woman. She is not nice or friendly and people do not like her. She doesn't care, as long as she has power and fear, she is happy."
1139926993713-51,0,0,-1,10,9,0,-1,11,100,0,33.33333206,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.059999999,0,0,0,0,0,-0.083333336,0.8203125,0.46875,0.33984375,1,0,0.4921875,0,1,0.99609375,0.99609375,0.99609375,1,0.273584902,0.273584902,0.273584902,1,"The person is female, with light skin, and medium length gray hair.","The person is wearing a police uniform, white shoes, and eyeglasses.",The person appears to be a middle-aged police woman.,"The person is female, with light skin, and medium length gray hair. The person is wearing a police uniform, white shoes, and eyeglasses. The person appears to be a middle-aged police woman."
50924506342-15,0,-1,2,2,5,2,-1,-1,100,0,33.33333206,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-0.02,0,0,0,0,0,0.083333336,0.8203125,0.46875,0.33984375,1,0.125,0.59375,0.99609375,1,0.99609375,0.9375,0,1,0.273584902,0.273584902,0.273584902,1,The person is a bit overweight.  They are sad.  The person has bright blue eyes.,The person is wearing a long sleeved pink top.  Their pants are grey and they have a matching hat.  Their shoes are light blue.,The person looks upset and distant.  They look cold and like they don't want to be there.  It is hard to tell if the person is a male or female or young or old.,The person is a bit overweight.  They are sad.  The person has bright blue eyes. The person is wearing a long sleeved pink top.  Their pants are grey and they have a matching hat.  Their shoes are light blue. The person looks upset and distant.  They look cold and like they don't want to be there.  It is hard to tell if the person is a male or female or young or old.
12264984062-2,0,-1,2,7,7,8,-1,-1,66.66666412,0,66.66666412,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.02,0,0,0,0,0,0.25,0.4921875,0.24609375,0.15625,1,0.62890625,0.33203125,0,1,0.73046875,0.4453125,0,1,0.273584902,0.273584902,0.273584902,1,The woman is short.  She has medium skin tone.  Her eyes are orange.,The woman is wearing a grey hat and jacket.  Her shirt is white.  She has on a pair of blue shorts.  Her shoes are blue as well.,The woman is pretty casual.  She is laid back.  She likes hanging out with her friends.,The woman is short.  She has medium skin tone.  Her eyes are orange. The woman is wearing a grey hat and jacket.  Her shirt is white.  She has on a pair of blue shorts.  Her shoes are blue as well. The woman is pretty casual.  She is laid back.  She likes hanging out with her friends.
