Character-ID,Gender,Hair,Hat,TShirt,Pants,Shoes,Beard,Accessory,Fat,Muscles,Slimness,Thin,BreastSize,Neck_Width,Ear_Size,Ear_Angle,Jaw_Width,Jaw_Shift,Jaw_Offset,Cheek_Size,Chin_Offset,Eye_Width,Eye_Form,Eye_InnerCorner,Eye_Corner,Eye_Rotation,Eye_Offset,Eye_ScaleX,Eye_ScaleY,Eye_Size,Eye_Close,Eye_Height,Brow_Height,Brow_Shape,Brow_Thickness,Brow_Length,Nose_Length,Nose_Size,Nose_Angle,Nose_Offset,Nose_Bridge,Nose_Hump,Mouth_Offset,Mouth_Width,Mouth_Size,Mouth_Open,Mouth_Bulging,LipsCorners_Offset,Face_Form,Chin_Width,Chin_Form,Head_Offset,Height,Smile,Sadness,Surprise,Thoughtful,Angry,HeadSize,SkinColor.r,SkinColor.g,SkinColor.b,SkinColor.a,EyeColor.r,EyeColor.g,EyeColor.b,EyeColor.a,HairColor.r,HairColor.g,HairColor.b,HairColor.a,UnderpantsColor.r,UnderpantsColor.g,UnderpantsColor.b,UnderpantsColor.a,Answer.q1_Description,Answer.q2_Description,Answer.q3_Description,AnswerCombined
11642225629160-84,1,2,-1,1,1,0,2,1,33.33333206,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,-0.026666669,0,0,0,0,0,-0.083333336,0.59765625,0.27734375,0.15625,1,0.80078125,0.2421875,0.99609375,1,0.99609375,0.5,0.0234375,1,0.566037774,0.566037774,0.566037774,1,This man has almond skin. He has a very toned physique. He is of average height.,He has a gray tank top on. He is wearing glasses. He has light gray shorts on.,He is an athlete or personal trainer. He stands with confidence. He accentuates his built upper body when standing.,This man has almond skin. He has a very toned physique. He is of average height. He has a gray tank top on. He is wearing glasses. He has light gray shorts on. He is an athlete or personal trainer. He stands with confidence. He accentuates his built upper body when standing.
11685922472543-85,1,2,0,2,14,5,2,3,66.66666412,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,0.059999999,0,0,0,0,0,-0.083333336,0.66015625,0.30859375,0.1796875,1,0,0.4921875,0,1,0.73046875,0.4453125,0,1,0.566037774,0.566037774,0.566037774,1,"This man looks fairly tall, but not very heavy. He has light skin. He has blue eyes and a chiseled jaw line.",The man's clothing looks ready for the outdoors. He has a hooded yellow jacket and a red hat. He has gray cargo pants and boots.,This man looks like he might be going camping or hiking. He is dressed way too casual to head to an office. He looks like he's ready for bad weather.,"This man looks fairly tall, but not very heavy. He has light skin. He has blue eyes and a chiseled jaw line. The man's clothing looks ready for the outdoors. He has a hooded yellow jacket and a red hat. He has gray cargo pants and boots. This man looks like he might be going camping or hiking. He is dressed way too casual to head to an office. He looks like he's ready for bad weather."
11721479016627-86,1,2,2,12,3,2,2,4,66.66666412,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,-0.026666669,0,0,0,0,0,0.25,0.41015625,0.1796875,0.09765625,1,0.80078125,0.2421875,0.99609375,1,0.73046875,0.4453125,0,1,0.566037774,0.566037774,0.566037774,1,The person appears to be male and of average height. His skin tone is light brown. He has an angular face with pink eyes.,The person is wearing a white coat that's reminiscent of what a doctor would wear. He's wearing dark pants and light colored shoes. His accessories are a hat and a pair of earphones.,"The person is likely a doctor of some kind, based on the stethoscope around his neck. He seems professional, but also young and not particularly experienced. He appears to be serious and intense.","The person appears to be male and of average height. His skin tone is light brown. He has an angular face with pink eyes. The person is wearing a white coat that's reminiscent of what a doctor would wear. He's wearing dark pants and light colored shoes. His accessories are a hat and a pair of earphones. The person is likely a doctor of some kind, based on the stethoscope around his neck. He seems professional, but also young and not particularly experienced. He appears to be serious and intense."
11735776002979-87,1,2,-1,1,1,1,2,-1,100,33.33333206,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,-0.113333337,0,0,0,0,0,0.083333336,0.59765625,0.27734375,0.15625,1,0.62890625,0.33203125,0,1,0.37890625,0.15625,0,1,0.566037774,0.566037774,0.566037774,1,Shorter and ver tanned man. Medium build for a frame. Short brown hair with a chinstrap beard.,White tank top for shirt. Light colored shorts that reach knees. Light colored flip flops.,Have a very relaxed looked. Ready for a beach day vibe. Serious look on the face.,Shorter and ver tanned man. Medium build for a frame. Short brown hair with a chinstrap beard. White tank top for shirt. Light colored shorts that reach knees. Light colored flip flops. Have a very relaxed looked. Ready for a beach day vibe. Serious look on the face.
11796975565026-88,1,2,0,1,2,-1,2,2,33.33333206,100,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,-0.026666669,0,0,0,0,0,-0.083333336,0.83984375,0.60546875,0.4765625,1,0.125,0.59375,0.99609375,1,0.7421875,0.7421875,0.7421875,1,0.566037774,0.566037774,0.566037774,1,They are light skinned. They have a thin beard around their jawline. They have an athletic build.,They are wearing a red ball cap. They have sunglasses on. They are wearing a white tank top and yellow pants. They have no shoes on.,They seem to be pretty laid-back. They may be going to a job as a yoga instructor. They could be enjoying a relaxing day at home.,They are light skinned. They have a thin beard around their jawline. They have an athletic build. They are wearing a red ball cap. They have sunglasses on. They are wearing a white tank top and yellow pants. They have no shoes on. They seem to be pretty laid-back. They may be going to a job as a yoga instructor. They could be enjoying a relaxing day at home.
40264423285041-272,1,10,1,7,3,2,3,-1,100,100,0,33.33333206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.059999999,0,0,0,0,0,0.083333336,0.41015625,0.1796875,0.09765625,1,0.99609375,0,0,1,0.99609375,0.9375,0,1,0.566037774,0.566037774,0.566037774,1,This man is of average size and looks strong. He has brown skin and green facial hair and eyebrows. His eyes are bright red.,This man is wearing a gray beanie with an orange stripe around it. He has a plain white dress shirt and black dress pants on. He has yellow shoes with black soles.,This man is just very well like he works in a professional job. With the beanie I would assume he's commuting to work and relatively cold weather. He seems like a nice person and I can see him being a father.,This man is of average size and looks strong. He has brown skin and green facial hair and eyebrows. His eyes are bright red. This man is wearing a gray beanie with an orange stripe around it. He has a plain white dress shirt and black dress pants on. He has yellow shoes with black soles. This man is just very well like he works in a professional job. With the beanie I would assume he's commuting to work and relatively cold weather. He seems like a nice person and I can see him being a father.
11849941844139-89,1,2,-1,2,0,7,2,4,33.33333206,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0.059999999,0,0,0,0,0,0.083333336,0.66015625,0.30859375,0.1796875,1,0.7421875,0.7421875,0.7421875,1,0.73046875,0.4453125,0,1,0.566037774,0.566037774,0.566037774,1,Heâ€™s short. His torso is square.  He has a medium skin tone.,Heâ€™s wearing a yellow hoodie.  He has on gray pants.  His pants are blue.,He is unemployed.  He works in the underground world.  He is a hustler.,Heâ€™s short. His torso is square.  He has a medium skin tone. Heâ€™s wearing a yellow hoodie.  He has on gray pants.  His pants are blue. He is unemployed.  He works in the underground world.  He is a hustler.
11928388270248-90,1,2,2,12,14,12,2,8,33.33333206,33.33333206,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-0.026666669,0,0,0,0,0,0.083333336,0.59765625,0.27734375,0.15625,1,0.99609375,0,0,1,0.99609375,0.99609375,0.99609375,1,0.566037774,0.566037774,0.566037774,1,"It's a young man, tall and slim. He had darkish skin and red eyes. His hair is probably short, cannot be seen under the cap.","He is wearing a white doctor's coat and a cap. His pants are dark gray, shoes are blue. He is wearing eyeglasses.",He looks neat and professional. He is a doctor or nurse. He is well educated.,"It's a young man, tall and slim. He had darkish skin and red eyes. His hair is probably short, cannot be seen under the cap. He is wearing a white doctor's coat and a cap. His pants are dark gray, shoes are blue. He is wearing eyeglasses. He looks neat and professional. He is a doctor or nurse. He is well educated."
40267638624133-273,1,10,-1,-1,0,2,3,-1,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333206,-0.026666669,0,0,0,0,0,0.25,0.8203125,0.46875,0.33984375,1,0.80078125,0.2421875,0.99609375,1,0,0,0,1,0.566037774,0.566037774,0.566037774,1,The man is average to short height. He has a goatee. He is slightly muscular. He has a stern look on his face.,He is not wearing a shirt. He is wearing slacks that look quite neat. They might be work slacks.,"He might be a mechanic due to his slacks. He is not wearing a shirt, perhaps because he is overheated because of his work. This makes me think he is not an office worker.","The man is average to short height. He has a goatee. He is slightly muscular. He has a stern look on his face. He is not wearing a shirt. He is wearing slacks that look quite neat. They might be work slacks. He might be a mechanic due to his slacks. He is not wearing a shirt, perhaps because he is overheated because of his work. This makes me think he is not an office worker."
11988847072113-91,1,2,-1,10,0,7,2,11,100,100,0,66.66666412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.33333206,-0.026666669,0,0,0,0,0,0.083333336,0.88671875,0.53515625,0.41015625,1,0.37890625,0.15625,0,1,0.5,0,0.96875,1,0.566037774,0.566037774,0.566037774,1,The man has blue hair and glasses. His face is angular. His nose is long. He is tall and has a bulky build.,He is wearing a blue shirt and black pants. He has on blue shoes with black laces. He wears a blue tie. He has pins and badges on his shirt.,This man looks like a person connected with the law. He could be a police officer or a security officer. He has a very serious look on his face and stands tall and proud like a person in charge.,The man has blue hair and glasses. His face is angular. His nose is long. He is tall and has a bulky build. He is wearing a blue shirt and black pants. He has on blue shoes with black laces. He wears a blue tie. He has pins and badges on his shirt. This man looks like a person connected with the law. He could be a police officer or a security officer. He has a very serious look on his face and stands tall and proud like a person in charge.
