sID,RAND,Stressor,Label,,,,,,,,,,,,,,,,
4360,0.917200905,Well I have been having some really hard times at work as of late.,Work,,,,,,,,,,,,,,,,
6339,0.290132536,Angry because I saw the extent of my families HUGE problem communicating with each other.,Family Issues,,,,,,,,,,,,,,,,
4982,0.853466889,I have so much work to do this week I hate the thought of it.,Work,,,,,,,,,,,,,,,,
6563,0.074701663,My mom is REALLY annoying me.,Family Issues,,,,,,,,,,,,,,,,
4930,0.542781645,School is hard and I'm getting SOOO SOOO SOOO sick of it! I'm starting to do pretty bad in my classes.,School,,,,,,,,,,,,,,,,
1787,0.861921082,my brother just found out he has cancer,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
6414,0.491781392,And i know that this is a regular problem for just about everyone.,Everyday Decision Making,,,,,,,,,,,,,,,,
3019,0.070343514,work has been so busy and it's making me tired and stressed.,Work,,,,,,,,,,,,,,,,
6555,0.062125607,"they just realized that their UF application is due tomorrow, and they haven't even started thier essays for that essay.",School,,,,,,,,,,,,,,,,
3265,0.013390939,"After speaking with the doctor, they've decided I strained a back muscle, which apparently is causing these weird symptoms.","Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
4894,0.991404514,"I can't concentrate on my homework and dtudying, and it showes in my grades.",School,,,,,,,,,,,,,,,,
2663,0.963538634,the sale of my house is making lose sleep.,Financial Problem,,,,,,,,,,,,,,,,
4375,0.116750892,Work and things just have me stressed out I guess!,Work,,,,,,,,,,,,,,,,
961,0.343644671,i have been trying to sort out my manuscript,Work,,,,,,,,,,,,,,,,
381,0.136392781,having 3 year old triplets,Family Issues,,,,,,,,,,,,,,,,
1983,0.223199221,my kids spent too much money at the event today,Family Issues,,,,,,,,,,,,,,,,
2782,0.489766582,this overseas move and trying to figure out how we will move the dogs.,Family Issues,,,,,,,,,,,,,,,,
2833,0.818040203,trying to beat my addiction that i been battling for 4 years very hard to beat,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
30,0.360531336,a recent situation is that my house is listed and not selling quick,Financial Problem,,,,,,,,,,,,,,,,
369,0.857280956,great stress about work,Work,,,,,,,,,,,,,,,,
2052,0.990239489,my relationship with my husband is strained.,Family Issues,,,,,,,,,,,,,,,,
2760,0.992406062,This coronavirus is kind of stressful because you never know how long it's going to last,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
6649,0.446292069,"I feel kind of bad for her, cause like, a few bad life decisions and it all comes crashing down on her.",Social Relationships,,,,,,,,,,,,,,,,
122,0.290078767,big trip home,Family Issues,,,,,,,,,,,,,,,,
4177,0.326486358,"I've been very busy lately? I dunno, I just didn't feel like typing...",Everyday Decision Making,,,,,,,,,,,,,,,,
5466,0.363888109,I think it's related to social mores that are really tough to overcome.,Social Relationships,,,,,,,,,,,,,,,,
4327,0.233552338,There will be questions I have no answers to and it seems to be the story of my life lately.,Everyday Decision Making,,,,,,,,,,,,,,,,
5030,0.994546241,They're all worried because they still don't know if they passed the Liberal Arts math class they had together.,School,,,,,,,,,,,,,,,,
813,0.5965069,i have a boss who is clueless in regards to his words.,Work,,,,,,,,,,,,,,,,
5195,0.996677476,"This stress puts stress on my relationship with other people, and I really hate it.",Social Relationships,,,,,,,,,,,,,,,,
5049,0.886916815,im sad that school is ending onli cus some of my frends r going to college.,School,,,,,,,,,,,,,,,,
707,0.953877375,I can't get groceries for our family,Financial Problem,,,,,,,,,,,,,,,,
136,0.909820621,california wildfires are a big concern,Other,,,,,,,,,,,,,,,,
6181,0.30763734,I fear that my parents will leave me and I will not have the stability that I finally reached with my family.,Family Issues,,,,,,,,,,,,,,,,
5220,0.295868788,Thus you wont read this directed at You and Your.,Other,,,,,,,,,,,,,,,,
6638,0.481727638,Tom and I are having relationship problems.,Social Relationships,,,,,,,,,,,,,,,,
3493,0.415016641,But then I tried to sleep and my throat just kept getting worse and worse.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
4114,0.439478343,In other news I am highly frustrated with my tour guide job.,Work,,,,,,,,,,,,,,,,
956,0.524657916,i have been struggling to find a job.,Work,,,,,,,,,,,,,,,,
4478,0.952090076,It is so hard to handle all the problems and the situations through my life.,Everyday Decision Making,,,,,,,,,,,,,,,,
1784,0.574932262,"my broken foot has not healed and i've been in a cast for 4 months, i want to walk again","Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
1738,0.466033094,"my boss at work, who's extremely inconsiderate.",Work,,,,,,,,,,,,,,,,
1537,0.732949552,I've had to quit working due to the spread of COVID-19,Work,,,,,,,,,,,,,,,,
236,0.093314507,Definitely the COVID-19 Global outbreak that requires being Quarantined,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
2370,0.918540308,school closing & how I will do my job,School,,,,,,,,,,,,,,,,
1008,0.486281283,i have not had any stressful situations lately,Other,,,,,,,,,,,,,,,,
5139,0.151799456,I have to go back to school tomorrow so I dont know how fast my chapters will be up!,School,,,,,,,,,,,,,,,,
1822,0.576105327,my coworker is soo annoying and crazy,Work,,,,,,,,,,,,,,,,
359,0.476623524,Going out to the store and ppl sneezing without covering the mouth OMG,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
1000,0.571038444,i have no idea what to make for dinner,Everyday Decision Making,,,,,,,,,,,,,,,,
1146,0.720563073,I think this covid -19 issue being quarantined in the house all week is really stressful,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
5022,0.336528474,high school is so frustrating.,School,,,,,,,,,,,,,,,,
87,0.502496326,being at home alone with a newborn.,Family Issues,,,,,,,,,,,,,,,,
3366,0.785699323,"I'm really tired and have been feeling kinda bummed lately, and my lesson wasn't that great either.",Emotional Turmoil,,,,,,,,,,,,,,,,
3969,0.516294994,I have been very confused as of late with the direction my life is heading.,Emotional Turmoil,,,,,,,,,,,,,,,,
865,0.782758226,i have been feeling kind of lonely lately,Social Relationships,,,,,,,,,,,,,,,,
3006,0.799599219,work has been making me upset because of the crazy workload and lack of assistance.,Work,,,,,,,,,,,,,,,,
6698,0.251070687,It seams that everything and everyone is against you.,Emotional Turmoil,,,,,,,,,,,,,,,,
1913,0.581324824,my house build - i've been continuing to run into issues with the construction manager.,Everyday Decision Making,,,,,,,,,,,,,,,,
6464,0.419042003,"I have class in about an hour, therefore after I get ready I am going over to Starbucks to read before, because I'm dumb and I didn't read yet.",School,,,,,,,,,,,,,,,,
2380,0.41589667,school has been too much for me lately.,School,,,,,,,,,,,,,,,,
5033,0.883697226,I think it is just a lot of stress and being soooo overwhelmed with schoolwork as well as my trip coming to an end.,School,,,,,,,,,,,,,,,,
4592,0.622496563,i've been thinking a lot lately and it seems to me that my priorities aren't in the right place.,Everyday Decision Making,,,,,,,,,,,,,,,,
4021,0.034314193,"I was worried for a while, since I was really starting to feel like I was running out of material.",Other,,,,,,,,,,,,,,,,
2897,0.918581786,very stress,Other,,,,,,,,,,,,,,,,
1619,0.659491757,lately life has been pressing down on me.,Emotional Turmoil,,,,,,,,,,,,,,,,
3466,0.057469376,Both of us were sick that day and we were fussy and frustrated as we didn't know what to do and expect.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
467,0.289169233,hi! i have been really stressing out about my recent school load and doing my studies.,School,,,,,,,,,,,,,,,,
3765,0.158042667,Finances. The reduced hours at work have me scrambling for cash.,Work,,,,,,,,,,,,,,,,
1745,0.088207843,my boss has been hounding me about this project i'm on.,Work,,,,,,,,,,,,,,,,
4359,0.064504459,Well damn... after that last entry I'm begining to worry myself!,Emotional Turmoil,,,,,,,,,,,,,,,,
2815,0.526809071,too many interruptions all day,Everyday Decision Making,,,,,,,,,,,,,,,,
5945,0.784974502,"I'm losing control of my emotions and my thoughts, and it scares me.",Emotional Turmoil,,,,,,,,,,,,,,,,
2411,0.771356297,sick kids and animals,Family Issues,,,,,,,,,,,,,,,,
54,0.236123158,alot of stress at work.,Work,,,,,,,,,,,,,,,,
4911,0.466951275,all my midterms are in class this year so next week while midterms are going on all week i have no school.,Other,,,,,,,,,,,,,,,,
6482,0.415489204,"i guess i should do homework, i still need to work on my thesis.",School,,,,,,,,,,,,,,,,
3313,0.718456593,"On the other hand I want to be able to sleep, and the laste hours we hold don't comply with the human need for it.","Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
6814,0.024512852,I had a terrible experience with my brother today and it set off a lot of needless worry and anxious thought.,Family Issues,,,,,,,,,,,,,,,,
6008,0.277145236,I also just don't have enough money to pay someone to design a site for me.,Financial Problem,,,,,,,,,,,,,,,,
6491,0.234344817,"This'll be my third semester straight of classes, and I'm starting to get erratic and stressed about school like I used to be.",School,,,,,,,,,,,,,,,,
5077,0.720296113,"I am really tired, I didn't sleep well last night to do random fretting about moving.","Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
1430,0.364484425,"i've been dealing with a lot - moving, and my father's estate.",Family Issues,,,,,,,,,,,,,,,,
1317,0.104472548,"I'm stressed about not being able to see my family. Also, uncertain when work resumes.",Family Issues,,,,,,,,,,,,,,,,
5286,0.380289416,I want to be his friend and a part of his life but I can't.,Social Relationships,,,,,,,,,,,,,,,,
2033,0.075718131,my physical pain and mental health symptoms lately.,"Health, Fatigue, or Physical Pain",,,,,,,,,,,,,,,,
3293,0.830973288,The combination of the lack of sleep and the massive disappointment in myself is causing me to become emotionally unstable.,Emotional Turmoil,,,,,,,,,,,,,,,,
778,0.558446585,i got a new boss that doesn't perform his job properly,Work,,,,,,,,,,,,,,,,
2237,0.658795004,"Now that school is closed because of Coronavirus, I have to do online class!",Other,,,,,,,,,,,,,,,,
4370,0.935308314,"When I'm all depressed about shit in my life, THIS has to happen.",Emotional Turmoil,,,,,,,,,,,,,,,,
1936,0.189438322,my husband's hours have been cut at work,Work,,,,,,,,,,,,,,,,
4467,0.181235526,"grandpa took us out to dinner, it was hard.",Family Issues,,,,,,,,,,,,,,,,
2555,0.562616519,The COVID 19 and my job loss,Work,,,,,,,,,,,,,,,,
2193,0.388088079,not having a good paid job.,Work,,,,,,,,,,,,,,,,
1036,0.177169576,i have too many things on my plate at work.,Work,,,,,,,,,,,,,,,,
2291,0.198290204,paying off my debts,Financial Problem,,,,,,,,,,,,,,,,
3144,0.373116664,yeah finding a job that earns more $$$$,Work,,,,,,,,,,,,,,,,
1963,0.944657152,my job it has been full of crazy stuff.,Work,,,,,,,,,,,,,,,,
6117,0.511292564,"On their lives, they could not count enough cash to pay the bill.",Financial Problem,,,,,,,,,,,,,,,,
6399,0.337369175,"Moving takes up a lot of time and energy, and I have to start packing soon.",Everyday Decision Making,,,,,,,,,,,,,,,,
2981,0.829683614,Work,Work,,,,,,,,,,,,,,,,
1373,0.393923643,I'm worried about my parents catching this virus.,Family Issues,,,,,,,,,,,,,,,,
6726,0.737131377,You need help. I'm worried about you.,Social Relationships,,,,,,,,,,,,,,,,
2454,0.031259943,struggling home life and work life is stressful and complicated,Work,,,,,,,,,,,,,,,,
815,0.915629102,i have a bunch of tests this week and no time to study,School,,,,,,,,,,,,,,,,
4461,0.258611553,"I'm especially conflicted at this point because I don't where to go with my life, especially job related.",Work,,,,,,,,,,,,,,,,
